PropertyID,Tenant,LeaseStart,LeaseEnd,Occupancy
P0001,Tenant 1,2022-01-01,2025-01-01,100
P0002,Tenant 2,2022-01-16,2025-01-16,100
P0003,Tenant 3,2022-01-31,2025-01-31,100
P0004,Tenant 4,2022-02-15,2025-02-15,0
P0005,Tenant 5,2022-03-02,2025-03-02,100
P0006,Tenant 6,2022-03-17,2025-03-17,100
P0007,Tenant 7,2022-04-01,2025-04-01,100
P0008,Tenant 8,2022-04-16,2025-04-16,100
P0009,Tenant 9,2022-05-01,2025-05-01,100
P0010,Tenant 10,2022-05-16,2025-05-16,100
P0011,Tenant 11,2022-05-31,2025-05-31,0
P0012,Tenant 12,2022-06-15,2025-06-15,100
P0013,Tenant 13,2022-06-30,2025-06-30,100
P0014,Tenant 14,2022-07-15,2025-07-15,100
P0015,Tenant 15,2022-07-30,2025-07-30,100
P0016,Tenant 16,2022-08-14,2025-08-14,100
P0017,Tenant 17,2022-08-29,2025-08-29,100
P0018,Tenant 18,2022-09-13,2025-09-13,100
P0019,Tenant 19,2022-09-28,2025-09-28,100
P0020,Tenant 20,2022-10-13,2025-10-13,100
P0021,Tenant 21,2022-10-28,2025-10-28,100
P0022,Tenant 22,2022-11-12,2025-11-12,100
P0023,Tenant 23,2022-11-27,2025-11-27,100
P0024,Tenant 24,2022-12-12,2025-12-12,100
P0025,Tenant 25,2022-12-27,2025-12-27,100
P0026,Tenant 26,2023-01-11,2026-01-11,100
P0027,Tenant 27,2023-01-26,2026-01-26,100
P0028,Tenant 28,2023-02-10,2026-02-10,100
P0029,Tenant 29,2023-02-25,2026-02-25,100
P0030,Tenant 30,2023-03-12,2026-03-12,100
P0031,Tenant 31,2023-03-27,2026-03-27,100
P0032,Tenant 32,2023-04-11,2026-04-11,100
P0033,Tenant 33,2023-04-26,2026-04-26,100
P0034,Tenant 34,2023-05-11,2026-05-11,100
P0035,Tenant 35,2023-05-26,2026-05-26,0
P0036,Tenant 36,2023-06-10,2026-06-10,100
P0037,Tenant 37,2023-06-25,2026-06-25,100
P0038,Tenant 38,2023-07-10,2026-07-10,100
P0039,Tenant 39,2023-07-25,2026-07-25,100
P0040,Tenant 40,2023-08-09,2026-08-09,0
P0041,Tenant 41,2023-08-24,2026-08-24,100
P0042,Tenant 42,2023-09-08,2026-09-08,0
P0043,Tenant 43,2023-09-23,2026-09-23,0
P0044,Tenant 44,2023-10-08,2026-10-08,0
P0045,Tenant 45,2023-10-23,2026-10-23,100
P0046,Tenant 46,2023-11-07,2026-11-07,100
P0047,Tenant 47,2023-11-22,2026-11-22,100
P0048,Tenant 48,2023-12-07,2026-12-07,100
P0049,Tenant 49,2023-12-22,2026-12-22,100
P0050,Tenant 50,2024-01-06,2027-01-06,100
P0051,Tenant 51,2024-01-21,2027-01-21,100
P0052,Tenant 52,2024-02-05,2027-02-05,100
P0053,Tenant 53,2024-02-20,2027-02-20,100
P0054,Tenant 54,2024-03-06,2027-03-07,100
P0055,Tenant 55,2024-03-21,2027-03-22,100
P0056,Tenant 56,2024-04-05,2027-04-06,100
P0057,Tenant 57,2024-04-20,2027-04-21,100
P0058,Tenant 58,2024-05-05,2027-05-06,100
P0059,Tenant 59,2024-05-20,2027-05-21,100
P0060,Tenant 60,2024-06-04,2027-06-05,0
P0061,Tenant 61,2024-06-19,2027-06-20,100
P0062,Tenant 62,2024-07-04,2027-07-05,100
P0063,Tenant 63,2024-07-19,2027-07-20,100
P0064,Tenant 64,2024-08-03,2027-08-04,100
P0065,Tenant 65,2024-08-18,2027-08-19,100
P0066,Tenant 66,2024-09-02,2027-09-03,100
P0067,Tenant 67,2024-09-17,2027-09-18,100
P0068,Tenant 68,2024-10-02,2027-10-03,100
P0069,Tenant 69,2024-10-17,2027-10-18,100
P0070,Tenant 70,2024-11-01,2027-11-02,100
P0071,Tenant 71,2024-11-16,2027-11-17,0
P0072,Tenant 72,2024-12-01,2027-12-02,0
P0073,Tenant 73,2024-12-16,2027-12-17,100
P0074,Tenant 74,2024-12-31,2028-01-01,100
P0075,Tenant 75,2025-01-15,2028-01-16,100
P0076,Tenant 76,2025-01-30,2028-01-31,100
P0077,Tenant 77,2025-02-14,2028-02-15,100
P0078,Tenant 78,2025-03-01,2028-03-01,0
P0079,Tenant 79,2025-03-16,2028-03-16,100
P0080,Tenant 80,2025-03-31,2028-03-31,100
P0081,Tenant 81,2025-04-15,2028-04-15,100
P0082,Tenant 82,2025-04-30,2028-04-30,0
P0083,Tenant 83,2025-05-15,2028-05-15,100
P0084,Tenant 84,2025-05-30,2028-05-30,100
P0085,Tenant 85,2025-06-14,2028-06-14,100
P0086,Tenant 86,2025-06-29,2028-06-29,100
P0087,Tenant 87,2025-07-14,2028-07-14,100
P0088,Tenant 88,2025-07-29,2028-07-29,0
P0089,Tenant 89,2025-08-13,2028-08-13,100
P0090,Tenant 90,2025-08-28,2028-08-28,100
P0091,Tenant 91,2025-09-12,2028-09-12,100
P0092,Tenant 92,2025-09-27,2028-09-27,100
P0093,Tenant 93,2025-10-12,2028-10-12,100
P0094,Tenant 94,2025-10-27,2028-10-27,100
P0095,Tenant 95,2025-11-11,2028-11-11,100
P0096,Tenant 96,2025-11-26,2028-11-26,100
P0097,Tenant 97,2025-12-11,2028-12-11,100
P0098,Tenant 98,2025-12-26,2028-12-26,100
P0099,Tenant 99,2026-01-10,2029-01-10,0
P0100,Tenant 100,2026-01-25,2029-01-25,100
